UTM33_X,UTM33_Y,exposed_bedr
208486,6636490,1
208486,6636515,1
208486,6636540,1
208486,6636565,1
208486,6636590,1
208486,6636615,1
208486,6636640,1
208486,6636665,1
208486,6636690,1
208486,6636715,1
208486,6636740,1
208486,6636765,1
208486,6636790,1
208486,6636815,1
208486,6636840,0
208486,6636865,0
208486,6636890,0
208486,6636915,1
208486,6636940,1
208486,6636965,1
208486,6636990,1
208486,6637015,1
208486,6637040,1
208486,6637065,0
208486,6637090,0
208486,6637115,0
208486,6637140,0
208486,6637165,0
208486,6637190,0
208486,6637215,0
208486,6637240,0
208486,6637265,0
208486,6637290,0
208486,6637315,0
208486,6637340,0
208486,6637365,0
208486,6637390,0
208486,6637415,0
208486,6637440,0
208486,6637465,0
208486,6637490,0
208486,6637515,0
208486,6637540,0
208486,6637565,1
208486,6637590,1
208486,6637615,1
208486,6637640,1
208486,6637665,1
208486,6637690,1
208486,6637715,1
208486,6637740,1
208486,6637765,1
208486,6637790,1
208486,6637815,1
208486,6637840,1
208486,6637865,1
208486,6637890,1
208486,6637915,1
208486,6637940,1
208486,6637965,1
208486,6637990,1
208486,6638015,1
208486,6638040,1
208486,6638065,1
208486,6638090,1
208486,6638115,1
208486,6638140,1
208486,6638165,1
208486,6638190,1
208486,6638215,1
208486,6638240,1
208486,6638265,1
208486,6638290,1
208486,6638315,1
208486,6638340,1
208486,6638365,1
208486,6638390,1
208486,6638415,1
208486,6638440,1
208486,6638465,1
208486,6638490,1
208486,6638515,1
208486,6638540,1
208486,6638565,1
208486,6638590,1
208486,6638615,1
208486,6638640,1
208486,6638665,1
208486,6638690,1
208486,6638715,1
208486,6638740,1
208486,6638765,1
208486,6638790,1
208486,6638815,1
208486,6638840,1
208486,6638865,1
208486,6638890,1
208486,6638915,1
208486,6638940,1
208486,6638965,1
208486,6638990,1
208486,6639015,1
208486,6639040,1
208486,6639065,1
208486,6639090,1
208486,6639115,1
208486,6639140,1
208486,6639165,1
208486,6639190,1
208486,6639215,1
208486,6639240,1
208486,6639265,1
208486,6639290,0
208486,6639315,0
208486,6639340,0
208486,6639365,0
208486,6639390,1
208486,6639415,1
208486,6639440,1
208486,6639465,1
208486,6639490,1
208486,6639515,0
208486,6639540,0
208486,6639565,0
208486,6639590,0
208486,6639615,0
