UTM33_X,UTM33_Y,drilled_length,distance_to_bedrock,drilled_azimuth,drilled_inclination
213340.8836,6645500.7109,0.1,NaN,0,90
213340.8836,6645500.7109,31.125,NaN,0,90
213914.7128,6638091.7046,15.025,NaN,0,90
214152.0798,6638590.5883,24.15,NaN,0,90
214152.0798,6638590.5883,0.1,NaN,0,90
213318.4976,6645531.9932,14.44,NaN,0,90
214029.1067,6638883.3794,0.1,NaN,0,90
214029.1067,6638883.3794,18.225,18.225,0,90
213310.2604,6645366.0959,28.6,NaN,0,90
213533.0045,6638483.8712,15.82,NaN,0,90
213877.5349,6638280.0164,14.88,NaN,0,90
214585.0697,6636381.9043,35.025,NaN,0,90
214547.0735,6636297.7103,35.225,NaN,0,90
214547.0735,6636297.7103,0.1,NaN,0,90
214108.7531,6638989.0192,7.3,NaN,0,90
213434.4131,6645567.6966,30.06,NaN,0,90
213226.3496,6645553.2303,0.1,NaN,0,90
213226.3496,6645553.2303,16.8,16.8,0,90
213722.8935,6637980.4682,16.35,NaN,0,90
213722.8935,6637980.4682,0.1,NaN,0,90
214594.7024,6636249.9672,0.1,NaN,0,90
214594.7024,6636249.9672,35.15,NaN,0,90
214103.2801,6638581.1488,6.525,6.525,0,90
214103.2801,6638581.1488,2.125,2.125,0,90
214046.099,6638718.5096,25.175,NaN,0,90
214046.099,6638718.5096,0.1,NaN,0,90
214007.4433,6638680.2077,0.1,NaN,0,90
214007.4433,6638680.2077,6.3,6.3,0,90
213765.9763,6638285.6221,0.1,NaN,0,90
213765.9763,6638285.6221,25.125,NaN,0,90
213359.3323,6645385.157,0,NaN,0,90
214622.3207,6636344.9531,35.425,NaN,0,90
213386.784,6645514.7331,25,NaN,0,90
213226.3496,6645553.2303,16.1,NaN,0,90
214622.3207,6636344.9531,35.02,NaN,0,90
213247.6562,6645538.8313,0,NaN,0,90
213247.6562,6645538.8313,20.25,NaN,0,90
213247.6562,6645538.8313,0.1,NaN,0,90
213689.1712,6638297.6208,25.1,NaN,0,90
213411.8399,6645543.8159,20.08,NaN,0,90
213688.0985,6638529.7937,0,NaN,0,90
213688.0985,6638529.7937,15.14,NaN,0,90
213511.7842,6645475.636,30.95,NaN,0,90
213511.7842,6645475.636,0.1,NaN,0,90
213722.8935,6637980.4682,14.34,NaN,0,90
213765.9763,6638285.6221,6.28,NaN,0,90
213318.4976,6645531.9932,20.4,NaN,0,90
213533.0045,6638483.8712,0.1,NaN,0,90
213533.0045,6638483.8712,21.475,NaN,0,90
213399.9852,6645404.4805,15.32,NaN,0,90
213434.4131,6645567.6966,5.175,NaN,0,90
213434.4131,6645567.6966,0.1,NaN,0,90
214622.3207,6636344.9531,19.025,NaN,0,90
214622.3207,6636344.9531,0.1,NaN,0,90
213344.7359,6645330.7001,0,NaN,0,90
213435.5491,6638468.7983,0.1,NaN,0,90
213435.5491,6638468.7983,16.55,16.55,0,90
213832.7194,6638142.8701,0,NaN,0,90
213582.1182,6645623.6292,31.025,NaN,0,90
213582.1182,6645623.6292,0.1,NaN,0,90
213383.8925,6645215.1746,0.1,NaN,0,90
213383.8925,6645215.1746,24,24,0,90
213484.802,6645222.8927,0.1,NaN,0,90
213484.802,6645222.8927,15.05,NaN,0,90
214594.7024,6636249.9672,8.94,NaN,0,90
213565.858,6645346.1916,0.1,NaN,0,90
213565.858,6645346.1916,15.05,NaN,0,90
213644.6203,6645330.2917,1.75,1.75,0,90
213644.6203,6645330.2917,1.35,1.35,0,90
213832.7194,6638142.8701,0.1,NaN,0,90
213832.7194,6638142.8701,25.025,NaN,0,90
213359.3323,6645385.157,20.2,NaN,0,90
